Qty;;;;;;;Value;Package;RefDes
2;;;;;;;0;0207/10;R46-47
26;;;;;;;0;R0805;R7-9, R10-16, R21-32, R40-42, R53
1;;;;;;;100u;E5-6;C18,
5;;;;;;;10K;R0805;R1, R35-38
4;;;;;;;10n;C0805;C4, C6-8
3;;;;;;;10u;E5-6;C12, C15, C17
2;;;;;;;120;R0805;R3, R44
8;;;;;;;.1u;C0805;C1-3, C5, C10-11, C14, C16
1;;;;;;;220;R0805;R6,
1;;;;;;;2.2K;R0805;R4,
4;;;;;;;330;R0805;R5, R48-50, R52
4;;;;;;; 3.3k;R0805;R17-20
2;;;;;;;360;R0805;R43, R45
1;;;;;;;ATMEGA48A;TQFP-32;U1,
1;;;;;;;ATMEL_JTAG;3X2-100MIL;CON4,
1;;;;;;;BD6212;HRP7;U8,
5;;;;;;;DNS;R0805;R2, R33-34, R39, R51
1;;;;;;;LM1085IS-ADJ;TO-263;U2,
1;;;;;;;LM317MDCYR;DCY;U3,
5;;;;;;;RED;CHIP-LED0805;LED1-4, LED6
1;;;;;;;DNS;CHIP-LED0805;LED5,
1;;;;;;;DSUB-09F;DSUB09M-SOLDER-EDGE;CON1,
1;;;;;;;G17S1510110EU;DSUB15F-SOLDER-EDGE;CON6,
2;;;;;;;KEYSTONE-TP-TH-BLACK;KEYSTONE-TESTPOINT-MULTIPURPOSE;TP1-2
2;;;;;;;2P-SCREWTERM-282836-2;2P-TERMINALBLOCK-282836-2;CON3, CON5
1;;;;;;;5P-SCREWTERM-282834-5;5P-TERMINALBLOCK-282834-5;CON2,
